stress_level,method,groups,mean_task_success,ci95_task_success,mean_unsafe_affordance_rejection_recall,ci95_unsafe_affordance_rejection_recall,mean_physical_violation_rate,ci95_physical_violation_rate,mean_test_query_cost,ci95_test_query_cost,mean_human_query_burden,ci95_human_query_burden,mean_planning_regret_to_oracle,ci95_planning_regret_to_oracle
0.0,failure_retrieval_policy,245,0.68532,0.00778,0.30067,0.01053,0.24066,0.00785,0.00295,0.00014,0.00000,0.00000,0.13750,0.00248
0.0,human_oracle_query_policy,245,0.80008,0.00741,0.61248,0.01282,0.19867,0.00726,0.02061,0.00058,0.24199,0.00765,0.08953,0.00218
0.0,llm_common_sense_replanner,245,0.64890,0.00939,0.06504,0.00579,0.27457,0.00863,0.00081,0.00007,0.00000,0.00000,0.15707,0.00307
0.0,model_to_model_deliberation,245,0.70338,0.00820,0.29226,0.01203,0.24356,0.00848,0.00108,0.00007,0.00000,0.00000,0.13006,0.00278
0.0,oracle_physical_assumption,245,0.84741,0.00629,0.92834,0.00602,0.18226,0.00727,0.00744,0.00032,0.04859,0.00390,0.07092,0.00175
0.0,proposed_executable_common_sense_tests,245,0.75832,0.00715,0.51658,0.01192,0.21931,0.00728,0.00923,0.00022,0.00000,0.00000,0.10858,0.00221
0.0,sequential_3d_affordance_reasoner,245,0.67841,0.00879,0.09536,0.00699,0.27057,0.00850,0.00183,0.00011,0.00000,0.00000,0.14083,0.00292
0.2,failure_retrieval_policy,245,0.64482,0.00893,0.26007,0.00990,0.26680,0.00893,0.00304,0.00014,0.00000,0.00000,0.16458,0.00310
0.2,human_oracle_query_policy,245,0.76303,0.00695,0.57448,0.01119,0.21060,0.00766,0.02343,0.00066,0.26413,0.00807,0.10521,0.00209
0.2,llm_common_sense_replanner,245,0.59686,0.00867,0.05499,0.00542,0.29388,0.00845,0.00081,0.00007,0.00000,0.00000,0.18703,0.00294
0.2,model_to_model_deliberation,245,0.66248,0.00855,0.25187,0.00978,0.26170,0.00810,0.00117,0.00008,0.00000,0.00000,0.15320,0.00275
0.2,oracle_physical_assumption,245,0.83297,0.00657,0.91409,0.00707,0.19152,0.00709,0.00828,0.00034,0.05275,0.00386,0.07940,0.00187
0.2,proposed_executable_common_sense_tests,245,0.72033,0.00751,0.50169,0.01171,0.23477,0.00826,0.01047,0.00024,0.00000,0.00000,0.12768,0.00252
0.2,sequential_3d_affordance_reasoner,245,0.63344,0.00885,0.07469,0.00592,0.29325,0.00874,0.00192,0.00011,0.00000,0.00000,0.16972,0.00328
0.4,failure_retrieval_policy,245,0.59937,0.00932,0.22983,0.00953,0.28768,0.00870,0.00338,0.00015,0.00000,0.00000,0.19052,0.00316
0.4,human_oracle_query_policy,245,0.73195,0.00784,0.54398,0.01087,0.22873,0.00842,0.02768,0.00068,0.29749,0.00793,0.12444,0.00253
0.4,llm_common_sense_replanner,245,0.55534,0.00967,0.03673,0.00441,0.31860,0.00919,0.00080,0.00007,0.00000,0.00000,0.21717,0.00339
0.4,model_to_model_deliberation,245,0.61444,0.00943,0.20228,0.00838,0.29419,0.00822,0.00120,0.00008,0.00000,0.00000,0.18331,0.00281
0.4,oracle_physical_assumption,245,0.81342,0.00689,0.90149,0.00589,0.20338,0.00820,0.00994,0.00039,0.06374,0.00425,0.08850,0.00211
0.4,proposed_executable_common_sense_tests,245,0.68760,0.00827,0.47108,0.01145,0.25738,0.00856,0.01133,0.00025,0.00000,0.00000,0.14949,0.00288
0.4,sequential_3d_affordance_reasoner,245,0.58367,0.00836,0.05562,0.00519,0.31586,0.00907,0.00202,0.00011,0.00000,0.00000,0.20083,0.00324
0.6,failure_retrieval_policy,245,0.55338,0.00862,0.18963,0.00794,0.31892,0.00925,0.00359,0.00017,0.00000,0.00000,0.22186,0.00333
0.6,human_oracle_query_policy,245,0.69765,0.00839,0.50759,0.01020,0.25989,0.00818,0.03128,0.00075,0.32174,0.00840,0.14591,0.00275
0.6,llm_common_sense_replanner,245,0.50204,0.00943,0.02718,0.00370,0.33987,0.00945,0.00079,0.00007,0.00000,0.00000,0.24723,0.00336
0.6,model_to_model_deliberation,245,0.56303,0.00869,0.16865,0.00754,0.31264,0.00861,0.00122,0.00009,0.00000,0.00000,0.21137,0.00315
0.6,oracle_physical_assumption,245,0.80173,0.00715,0.89181,0.00644,0.21813,0.00767,0.01074,0.00040,0.06648,0.00429,0.09830,0.00213
0.6,proposed_executable_common_sense_tests,245,0.65259,0.00838,0.46175,0.01066,0.27300,0.00899,0.01257,0.00027,0.00000,0.00000,0.16814,0.00292
0.6,sequential_3d_affordance_reasoner,245,0.54717,0.00934,0.04727,0.00450,0.33940,0.00946,0.00219,0.00012,0.00000,0.00000,0.22872,0.00335
0.8,failure_retrieval_policy,245,0.49984,0.00890,0.16803,0.00840,0.34199,0.00871,0.00396,0.00019,0.00000,0.00000,0.25076,0.00319
0.8,human_oracle_query_policy,245,0.66586,0.00909,0.47853,0.01108,0.27135,0.00813,0.03501,0.00079,0.34325,0.00824,0.16453,0.00289
0.8,llm_common_sense_replanner,245,0.45699,0.00927,0.01803,0.00283,0.36758,0.01000,0.00080,0.00007,0.00000,0.00000,0.27913,0.00356
0.8,model_to_model_deliberation,245,0.51397,0.00932,0.14052,0.00726,0.34560,0.00910,0.00121,0.00008,0.00000,0.00000,0.24314,0.00323
0.8,oracle_physical_assumption,245,0.77841,0.00740,0.87669,0.00680,0.23155,0.00754,0.01220,0.00045,0.07535,0.00470,0.10616,0.00228
0.8,proposed_executable_common_sense_tests,245,0.61680,0.00921,0.44542,0.01032,0.30071,0.00877,0.01378,0.00027,0.00000,0.00000,0.19135,0.00315
0.8,sequential_3d_affordance_reasoner,245,0.48619,0.00898,0.03242,0.00374,0.36122,0.00952,0.00238,0.00014,0.00000,0.00000,0.26122,0.00324
1.0,failure_retrieval_policy,245,0.45118,0.00938,0.13530,0.00696,0.37143,0.00980,0.00424,0.00017,0.00000,0.00000,0.28341,0.00365
1.0,human_oracle_query_policy,245,0.63163,0.00836,0.46173,0.01046,0.28776,0.00812,0.04012,0.00081,0.37865,0.00842,0.18394,0.00287
1.0,llm_common_sense_replanner,245,0.39969,0.00861,0.01202,0.00227,0.39239,0.00953,0.00077,0.00008,0.00000,0.00000,0.31094,0.00350
1.0,model_to_model_deliberation,245,0.46664,0.00936,0.11375,0.00646,0.37025,0.00953,0.00127,0.00009,0.00000,0.00000,0.27529,0.00354
1.0,oracle_physical_assumption,245,0.75149,0.00794,0.85218,0.00699,0.24356,0.00829,0.01339,0.00050,0.08046,0.00485,0.11626,0.00270
1.0,proposed_executable_common_sense_tests,245,0.56279,0.00873,0.42855,0.01019,0.31531,0.00876,0.01478,0.00030,0.00000,0.00000,0.21577,0.00307
1.0,sequential_3d_affordance_reasoner,245,0.43666,0.00858,0.02608,0.00329,0.38477,0.00955,0.00246,0.00015,0.00000,0.00000,0.29233,0.00342
